,Disease,Symptoms
0,fungal infection,"I have itching,  skin rash,  nodal skin eruptions,  dischromic  patches"
1,allergy,"I have  continuous sneezing,  shivering,  chills,  watering from eyes"
2,gerd,"I have  stomach pain,  acidity,  ulcers on tongue,  vomiting,  cough,  chest pain"
3,chronic cholestasis,"I have itching,  vomiting,  yellowish skin,  nausea,  loss of appetite,  abdominal pain,  yellowing of eyes"
4,drug reaction,"I have itching,  skin rash,  stomach pain,  burning micturition,  spotting  urination"
5,peptic ulcer diseae,"I have  vomiting,  loss of appetite,  abdominal pain,  passage of gases,  internal itching"
6,aids,"I have  muscle wasting,  patches in throat,  high fever,  extra marital contacts"
7,diabetes ,"I have  fatigue,  weight loss,  restlessness,  lethargy,  irregular sugar level,  blurred and distorted vision,  obesity,  excessive hunger,  increased appetite,  polyuria"
8,gastroenteritis,"I have  vomiting,  sunken eyes,  dehydration,  diarrhoea"
9,bronchial asthma,"I have  fatigue,  cough,  high fever,  breathlessness,  family history,  mucoid sputum"
10,hypertension ,"I have  headache,  chest pain,  dizziness,  loss of balance,  lack of concentration"
11,migraine,"I have  acidity,  indigestion,  headache,  blurred and distorted vision,  excessive hunger,  stiff neck,  depression,  irritability,  visual disturbances"
12,cervical spondylosis,"I have  back pain,  weakness in limbs,  neck pain,  dizziness,  loss of balance"
13,paralysis ,"I have  vomiting,  headache,  weakness of one body side,  altered sensorium"
14,jaundice,"I have itching,  vomiting,  fatigue,  weight loss,  high fever,  yellowish skin,  dark urine,  abdominal pain"
15,malaria,"I have  chills,  vomiting,  high fever,  sweating,  headache,  nausea,  muscle pain"
16,chicken pox,"I have itching,  skin rash,  fatigue,  lethargy,  high fever,  headache,  loss of appetite,  mild fever,  swelled lymph nodes,  malaise,  red spots over body"
17,dengue,"I have  skin rash,  chills,  joint pain,  vomiting,  fatigue,  high fever,  headache,  nausea,  loss of appetite,  pain behind the eyes,  back pain,  muscle pain,  red spots over body"
18,typhoid,"I have  chills,  vomiting,  fatigue,  high fever,  nausea,  constipation,  abdominal pain,  diarrhoea,  toxic look (typhos),  belly pain"
19,hepatitis a,"I have  joint pain,  vomiting,  yellowish skin,  dark urine,  nausea,  loss of appetite,  abdominal pain,  diarrhoea,  mild fever,  yellowing of eyes,  muscle pain"
20,hepatitis b,"I have itching,  fatigue,  lethargy,  yellowish skin,  dark urine,  loss of appetite,  abdominal pain,  yellow urine,  yellowing of eyes,  malaise,  receiving blood transfusion,  receiving unsterile injections"
21,hepatitis c,"I have  fatigue,  yellowish skin,  nausea,  loss of appetite,  family history"
22,hepatitis d,"I have  joint pain,  vomiting,  fatigue,  yellowish skin,  dark urine,  nausea,  loss of appetite,  abdominal pain,  yellowing of eyes"
23,hepatitis e,"I have  joint pain,  vomiting,  fatigue,  high fever,  yellowish skin,  dark urine,  nausea,  loss of appetite,  abdominal pain,  yellowing of eyes,  coma,  stomach bleeding"
24,alcoholic hepatitis,"I have  vomiting,  yellowish skin,  abdominal pain,  swelling of stomach,  distention of abdomen,  history of alcohol consumption,  fluid overload"
25,tuberculosis,"I have  chills,  vomiting,  fatigue,  weight loss,  cough,  high fever,  breathlessness,  sweating,  loss of appetite,  mild fever,  yellowing of eyes,  swelled lymph nodes,  malaise,  phlegm,  chest pain,  blood in sputum"
26,common cold,"I have  continuous sneezing,  chills,  fatigue,  cough,  high fever,  headache,  swelled lymph nodes,  malaise,  phlegm,  throat irritation,  redness of eyes,  sinus pressure,  runny nose,  congestion,  chest pain,  loss of smell,  muscle pain"
27,pneumonia,"I have  chills,  fatigue,  cough,  high fever,  breathlessness,  sweating,  malaise,  chest pain,  fast heart rate,  rusty sputum"
28,dimorphic hemmorhoids,"I have  constipation,  pain during bowel movements,  pain in anal region,  bloody stool,  irritation in anus"
29,heart attack,"I have  vomiting,  breathlessness,  sweating,  chest pain"
30,varicose veins,"I have  fatigue,  cramps,  bruising,  obesity,  swollen legs,  swollen blood vessels,  prominent veins on calf"
31,hypothyroidism,"I have  fatigue,  weight gain,  cold hands and feets,  mood swings,  lethargy,  dizziness,  puffy face and eyes,  enlarged thyroid,  brittle nails,  swollen extremeties,  depression,  irritability,  abnormal menstruation"
32,hyperthyroidism,"I have  fatigue,  mood swings,  weight loss,  restlessness,  sweating,  diarrhoea,  fast heart rate,  excessive hunger,  muscle weakness,  irritability,  abnormal menstruation"
