,Disease,Symptoms
0,0,"I have itching, skin rash, nodal skin eruptions, dischromic patches"
1,0,"I have itching, skin rash, nodal skin eruptions, dischromic patches"
2,0,"I see itching, skin rash, nodal skin eruptions and dischromous patches."
3,0,"I experience itching, rash, nodal skin eruptions and dischromised patches."
4,0,"I am experiencing itching,  skin rash,  nodal skin eruptions,  dischromic  patches"
5,0,"I am experiencing itching, skin rash, nodal skin eruptions, dischromic patches"
6,0,"I have itching, skin rash, nodal skin eruptions, dischromose patches."
7,0,"I am experiencing itchiness, skin rash, nodal skin eruptions, dischromic patches."
8,0,"I have itching, skin rash, nodal skin eruptions, dischromic patches"
9,1,"I am experiencing skin rash, allergic reaction, itching of the skin, peripheral edema, abnormal looking skin, cough, swollen eye, lip swelling, skin swelling, itchiness of the eye, fluid retention, swollen tongue"
10,1,"skin rash, allergic reaction, itching of skin, peripheral edema, abnormal appearing skin, cough, swollen eye, lip swelling, skin swelling, itchiness of eye, fluid retention, swollen tongue"
11,1,"I have skin rash, allergic reaction, itching of skin, peripheral edema, abnormal skin, coughing, swollen eye, lip swelling, skin swelling, itchiness of the eye, fluid retention, swollen tongue"
12,1,"I am experiencing continuous sneezing, shivering, chills, a watering from my eyes."
13,1,"I constantly feel sneezing, shivering, chills, watering from my eyes."
14,1,"I feel skin rash, allergic reaction, itching of the skin, peripheral edema, abnormal appearance of skin, cough, swollen eye, lip swelling, skin swelling, itchiness of the eye, fluid retention, swollen tongue"
15,1,"I experience skin rash, allergic reaction, itching of skin, peripheral edema, abnormal appearance of skin, coughing, swollen eye, lip swelling, skin swelling, itchiness of the eye, fluid retention, swollen tongue"
16,1,"I am experiencing continuous wheezing, shivering, chills, watering from my eyes"
17,1,"I am experiencing constant sneezing, shivering, chills, watering from eyes."
18,1,"I am experiencing  continuous sneezing,  shivering,  chills,  watering from eyes"
19,1,"I have skin rash, allergic reaction, itching of skin, peripheral edema, abnormal appearing skin, cough, swollen eye, lip swelling, skin swelling, itchiness of the eye, fluid retention, swollen tongue"
20,1,"I have skin rash, allergic reaction, itching of the skin, peripheral edema, abnormal appearing skin, cough, swollen eye, lip swelling, skin swelling, itchiness of the eye, fluid retention, swollen tongue"
21,1,"I am experiencing skin rash, allergic reaction, itching of skin, peripheral edema, abnormal appearing skin, cough, swollen eye, lip swelling, skin swelling, itchiness of eye, fluid retention, swollen tongue"
22,1,"I have continued sneezing, shivering, chills, watering from the eyes."
23,1,"I have continuous neezing, shivering, chills, watering from my eyes"
24,1,"Skin rash, allergic reaction, itching of skin, peripheral edema, abnormal appearance of skin, cough, swollen eye, lip swelling, skin swelling, itchiness of eye, fluid retention, swollen tongue"
25,1,"I have a skin rash, allergic reaction, itching of the skin, peripheral edema, abnormal appearance of the skin, cough, swollen eye, lip swelling, skin swelling, itchiness of the eye, fluid retention, swollen tongue"
26,1,"I experience continued sneezing, shivering, chills, watering by my eyes"
27,2,"I have stomach pains, acidity, ulcers on the tongue, vomiting, cough, chest pains"
28,2,"... I am experiencing stomach pain, acidity, ulcers on the tongue, vomiting, coughing, chest pain."
29,2,"I am experiencing stomach pain, acidity, ulcers on my tongue, vomiting, cough, chest pain"
30,2,"I am experiencing stomach pain, acidity, ulcers on the tongue, vomiting, cough, chest pain"
31,2,"I am experiencing  stomach pain,  acidity,  ulcers on tongue,  vomiting,  cough,  chest pain"
32,2,"I am experiencing stomach pain, acidity, ulcers on the tongue, vomiting, coughing, chest pain."
33,2,"I have stomach pains, acidity, ulcerations on the tongue, vomiting, coughing, chest pains"
34,2,"I have stomach pain, acidity, ulcers on the tongue, vomiting, cough, chest pains"
35,2,"I have stomach pain, acidity, ulcers on the tongue, vomiting, cough, chest pains"
36,3,"I have itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes."
37,3,"I have itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
38,3,"I am feeling itching, vomiting, yellow skin, nausea, loss of appetite, abdominal pain and eye yellowing."
39,3,"I experience itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of the eyes"
40,3,"I am experiencing itching,  vomiting,  yellowish skin,  nausea,  loss of appetite,  abdominal pain,  yellowing of eyes"
41,3,"I am experiencing itching, vomiting, yellow skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
42,3,"I have itching, vomiting, yellowing skin, nausea, a loss of appetite, abdominal pain, yellowing of eyes."
43,3,"I experience itching, vomiting, yellow skin, nausea, loss of appetite, abdominal pain, yellowing of eyes."
44,3,"I have itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes."
45,4,"I am experiencing skin rash, allergic reaction, itching of skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal skin, throat swelling"
46,4,"skin rash, allergic reaction, itching of skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal appearing skin, throat swelling"
47,4,"I have rash of skin, allergic reaction, itching of the skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal appearing skin, throat swellings"
48,4,"I am experiencing itching, skin rash, stomach pain, burning micturition, spotting urination"
49,4,"I am experiencing itching, skin rash, stomach pains, burning micturition, spotting urination"
50,4,"I am suffering from skin rash, allergic reaction, itching of skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormally appearing skin, throat swelling."
51,4,"I am experiencing skin rash, allergic reaction, itching of skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormally appearing skin, throat swelling"
52,4,"I am drenching, skin rash, stomach pain, burning micturition, spotting urination."
53,4,"I feel itching, skin rash, stomach pain, burning micturition, spotting urination"
54,4,"I am experiencing itching,  skin rash,  stomach pain,  burning micturition,  spotting  urination"
55,4,"I have skin rash, allergic reaction, itching of the skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal facial skin, throat swelling"
56,4,"I have skin rash, allergic reaction, itching skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal appearance skin, throat swelling"
57,4,"I am experiencing skin rash, allergic reaction, itching of skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal appearing skin, throat swelling"
58,4,"I have itching, skin rash, stomach pain, burning micturition, skin blistering, urination"
59,4,"I have itching, skin rash, stomach pain, burning micturition, spotting urination"
60,4,"I feel rash, allergic reaction, itching of the skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal skin, throat swelling."
61,4,"I have skin rash, allergic reaction, itching of the skin, dizziness, peripheral edema, lip swelling, nausea, shortness of breath, headache, vomiting, abnormal looking skin, throat swelling"
62,4,"I am experiencing itching, skin rash, stomach pain, burning micturition, spotting urination."
63,5,"I have nausea, appetite loss, abdominal pain, passage of gases, internal itching."
64,5,"I am experiencing vomiting, appetite loss, abdominal pain, passage of gases, internal itching."
65,5,"I experience vomiting, loss of appetite, abdominal pain, passage of gases, internal itching"
66,5,"I am experiencing vomiting, hunger loss, abdominal pain, passing of gases, internal itching."
67,5,"I am experiencing  vomiting,  loss of appetite,  abdominal pain,  passage of gases,  internal itching"
68,5,"I am experiencing vomiting, lack of appetite, abdominal pain, passage of gas, internal itching."
69,5,"I have vomiting, loss of appetite, abdominal pain, passage of gases, internal itching."
70,5,"Am experiencing vomiting, loss of appetite, abdominal pain, passage of gases, internal itching"
71,5,"Ich have vomiting, a loss of appetite, abdominal pain, passage of gas, internal itching."
72,6,"I have muscle wasting, patched throats, high fever, extra marital contacts."
73,6,"I am experiencing muscle pain, patches in throat, high fever, extra marital contacts."
74,6,"I am experiencing muscle wasting, patches in the throat, high fever, extra marital contact."
75,6,"I am experiencing muscle wasting, patches in throat, high fever, extra marital contacts."
76,6,"I am experiencing  muscle wasting,  patches in throat,  high fever,  extra marital contacts"
77,6,"I am experiencing muscle wasting, patches in the throat, high fever, extra marital contacts"
78,6,"I have muscle wasting, traces in throat, high fever, extra marital contacts."
79,6,"I experience muscle wasting, patches in throat, high fever, extra marital contact."
80,6,"I have muscle wasting, patches in throat, high fever, extra marital contacts."
81,7,"I have fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excess hunger, increased appetite, polyuria"
82,7,"I am experiencing fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria."
83,7,"I experience fatigue, weight loss, restlessness, lethargy, irregular glucose level, blurred and distorted vision, obesity, excess hunger, increased appetite, polyuria"
84,7,"I experience fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria."
85,7,"I am experiencing  fatigue,  weight loss,  restlessness,  lethargy,  irregular sugar level,  blurred and distorted vision,  obesity,  excessive hunger,  increased appetite,  polyuria"
86,7,"I am experiencing fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
87,7,"I have tingling, fat loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria"
88,7,"I have fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increasing appetite, polyuria."
89,7,"I have fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and dislodged vision, obesity, excessive hunger, increased appetite, polyuria."
90,8,"I am experiencing abdominal pain, breathholding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retching, mass of the body structure."
91,8,"pain abdominal, breathholding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of body structure"
92,8,"I have pain abdominal, breathholding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of body structure"
93,8,"I have experiencing vomiting, dark eyes, dehydration, diarrhoea"
94,8,"I am experiencing vomiting, sunken eyes, dehydration, diarrhoea."
95,8,"I experience abdominal pain, breathholding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of the body structure"
96,8,"I am experiencing abdominal pain, breath hold spell, nausea, lost body weight, sore to touch, scleral icterus, fever, myalgia, municipalities, hyponatremia, rupture, mass of body structure"
97,8,"I am experiencing vomiting, tired eyes, dehydration and diarrhoea"
98,8,"I am experiencing vomiting, sunken eyes, dehydration and diarrhoea."
99,8,"I am experiencing  vomiting,  sunken eyes,  dehydration,  diarrhoea"
100,8,"I have pain abdominal, breathholding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of body structure"
101,8,"I have abdominal pain, breath holding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of body structure"
102,8,"I am experiencing pain abdominal, breathholding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of body structure"
103,8,"I have vomiting, sunken eyes, dehydration, diarrhoea."
104,8,"I have vomiting, sunken eyes, dehydration, diarrhoea."
105,8,"I feel abdominal pain, breath holding spell, nausea, decreased body weight, sore to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of body structure"
106,8,"I have abdominal pain, breath holding spell, nausea, reduced body weight, swollen to touch, scleral icterus, fever, myalgia, hyponatremia, retch, mass of body structure"
107,8,"I am experiencing vomiting, sunken eyes, dehydration, diarrhoea."
108,9,"I have fatigue, cough, high fever, breathlessness, family history, mucoid sputum."
109,9,"I am experiencing fatigue, cough, fever, breathlessness, family history, mucoid sputum."
110,9,"I experience fatigue, cough, high fever, breathlessness, family history, mucoid sputum."
111,9,"I am experiencing fatigue, cough, high fever, breathlessness, family history, mucoid sputum."
112,9,"I am experiencing  fatigue,  cough,  high fever,  breathlessness,  family history,  mucoid sputum"
113,9,"I experience fatigue, cough, high fever, breathlessness, family history, mucus sputum."
114,9,"I have fatigue, cough, high fever, breathlessness, family history, mucoid sputum."
115,9,"I am experiencing fatigue, cough, high fever, breathlessness, sputum mucus, family history."
116,9,"I have fatigue, cough, high fever, breathlessness, family history, mucoid sputum."
117,10,"I have headaches, chest pain, dizziness, weight loss, lack of concentration"
118,10,"I am experiencing headache, chest pain, dizziness, loss of balance, lack of concentration"
119,10,"I experience headache, chest pain, dizziness, loss of equilibrium, lack of concentration"
120,10,"Symptoms I am headache, chest pain, dizziness, loss of balance, lack of concentration"
121,10,"I am experiencing  headache,  chest pain,  dizziness,  loss of balance,  lack of concentration"
122,10,"I am experiencing headaches, chest pain, dizziness, loss of balance, lack of concentration."
123,10,"I have headache, chest pain, dizziness, loss of balance, lack of concentration"
124,10,"I feel headache, chest pain, dizziness, loss of balance, lack of concentration."
125,10,"I have headache, chest pain, dizziness, loss of balance, lack of concentration."
126,11,"I am experiencing headache, nausea, vomiting, dizziness, diminished vision, disturbance of memory, spots or clouds in vision, of the face, blindness, long menstrual periods"
127,11,"headache, nausea, vomiting, dizziness, diminished vision, disturbance of memory, spots or clouds in vision,  of the face, blindness, long menstrual periods"
128,11,"I have headache, nausea, vomiting, dizziness, reduced vision, trouble with memory, spots or cloud in vision, the face, blindness, long menstrual periods ;"
129,11,"I am experiencing acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, vision disturbances"
130,11,"I suffer from acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
131,11,"I have headache, nausea, vomiting, dizziness, reduced vision, loss of memory, spots or clouded vision, of the face, blindness, long menstrual periods"
132,11,"I am experiencing headache, nausea, vomiting, dizziness, reduced vision, disturbance of memory, shadows or clouds in vision, of the face, blindness, long menstrual periods"
133,11,"I am experiencing acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
134,11,"I experience acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances"
135,11,"I am experiencing  acidity,  indigestion,  headache,  blurred and distorted vision,  excessive hunger,  stiff neck,  depression,  irritability,  visual disturbances"
136,11,"I have headache, nausea, vomiting, dizziness, diminished vision, disturbance of memory, spots or clouds in vision, facial muscles, blindness, long menstrual periods"
137,11,"I have headache, nausea, vomiting, dizziness, diminished vision, memory disturbance, spots or clouds in vision, the face, blindness, long menstrual periods"
138,11,"I am experiencing headache, nausea, vomiting, dizziness, diminished vision, disturbance of memory, spots or clouds in vision,  of the face, blindness, long menstrual periods"
139,11,"I have acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances."
140,11,"I have acidity, indigestion, headaches, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, and visual disturbances"
